timestamp,event,plate,start_time,end_time,duration_sec,duration_hms,blocks,cost_kyats
2025-11-14 18:34:13,RECEIPT,EXIT,1D 9667,2025-11-14 18:31:56,2025-11-14 18:34:13,137,00:02:17,3,1500
2025-11-14 18:36:30,START,ENTRY,1D 9663,2025-11-14 18:36:30,,,,,
2025-11-14 18:37:01,START,ENTRY,1D 9010,2025-11-14 18:37:01,,,,,
2025-11-14 18:37:02,START,ENTRY,1D 4631,2025-11-14 18:37:02,,,,,
2025-11-14 18:38:01,START,ENTRY,0J 0961,2025-11-14 18:38:01,,,,,
2025-11-14 18:38:02,START,ENTRY,1D 1006,2025-11-14 18:38:02,,,,,
2025-11-14 18:38:06,START,ENTRY,1D 4661,2025-11-14 18:38:06,,,,,
2025-11-14 18:38:14,START,ENTRY,1D 0131,2025-11-14 18:38:14,,,,,
2025-11-14 18:38:19,START,ENTRY,1D 9662,2025-11-14 18:38:19,,,,,
2025-11-14 18:41:24,RECEIPT,EXIT,1D 9662,2025-11-14 18:38:19,2025-11-14 18:41:24,184,00:03:04,4,2000
2025-11-14 18:42:09,START,ENTRY,1D 9667,2025-11-14 18:42:09,,,,,
2025-11-14 18:42:52,START,ENTRY,1Z 3222,2025-11-14 18:42:52,,,,,
2025-11-14 18:45:05,START,ENTRY,6S 1230,2025-11-14 18:45:05,,,,,
2025-11-14 18:45:13,START,ENTRY,1D 4663,2025-11-14 18:45:13,,,,,
2025-11-14 18:45:19,START,ENTRY,1O 4661,2025-11-14 18:45:19,,,,,
2025-11-14 18:46:38,START,ENTRY,1D 1660,2025-11-14 18:46:38,,,,,
2025-11-14 18:46:41,START,ENTRY,1D 1611,2025-11-14 18:46:41,,,,,
2025-11-14 18:46:43,START,ENTRY,1O 9161,2025-11-14 18:46:43,,,,,
2025-11-14 18:46:45,START,ENTRY,0L 6716,2025-11-14 18:46:45,,,,,
2025-11-14 18:46:46,START,ENTRY,1D 1613,2025-11-14 18:46:46,,,,,
2025-11-14 18:46:48,START,ENTRY,1O 1613,2025-11-14 18:46:48,,,,,
2025-11-14 18:49:46,START,ENTRY,1D 1031,2025-11-14 18:49:46,,,,,
2025-11-14 18:50:51,START,ENTRY,1D 9631,2025-11-14 18:50:51,,,,,
2025-11-14 18:50:56,START,ENTRY,1D 6101,2025-11-14 18:50:56,,,,,
2025-11-14 18:51:26,START,ENTRY,6I 0413,2025-11-14 18:51:26,,,,,
2025-11-14 18:51:40,START,ENTRY,1T 1026,2025-11-14 18:51:40,,,,,
2025-11-14 18:51:55,START,ENTRY,1D 9662,2025-11-14 18:51:55,,,,,
2025-11-14 18:53:08,RECEIPT,EXIT,1D 9662,2025-11-14 18:51:55,2025-11-14 18:53:08,73,00:01:13,2,1000
2025-11-14 18:57:01,START,ENTRY,2I 7621,2025-11-14 18:57:01,,,,,
2025-11-14 18:57:17,START,ENTRY,4Z 3712,2025-11-14 18:57:17,,,,,
2025-11-14 19:01:34,START,ENTRY,1D 9661,2025-11-14 19:01:34,,,,,
2025-11-14 19:02:30,START,ENTRY,1D 9662,2025-11-14 19:02:30,,,,,
2025-11-14 19:03:06,START,ENTRY,7C 2371,2025-11-14 19:03:06,,,,,
2025-11-14 19:03:12,START,ENTRY,7C 2362,2025-11-14 19:03:12,,,,,
2025-11-14 19:03:22,START,ENTRY,4B 1348,2025-11-14 19:03:22,,,,,
2025-11-14 19:03:40,RECEIPT,EXIT,1D 9662,2025-11-14 19:02:30,2025-11-14 19:03:40,69,00:01:09,2,1000
2025-11-14 19:04:07,START,ENTRY,1D 9663,2025-11-14 19:04:07,,,,,
2025-11-14 19:05:45,START,ENTRY,1D 9667,2025-11-14 19:05:45,,,,,
2025-11-14 19:05:55,START,ENTRY,1D 9665,2025-11-14 19:05:55,,,,,
2025-11-14 19:06:18,START,ENTRY,1D 9662,2025-11-14 19:06:18,,,,,
2025-11-14 19:06:37,RECEIPT,EXIT,1D 9662,2025-11-14 19:06:18,2025-11-14 19:06:37,19,00:00:19,1,500
2025-11-14 19:07:15,START,ENTRY,7K 3757,2025-11-14 19:07:15,,,,,
2025-11-14 19:07:29,START,ENTRY,7K 3137,2025-11-14 19:07:29,,,,,
2025-11-14 19:07:31,START,ENTRY,7K 3634,2025-11-14 19:07:31,,,,,
2025-11-14 19:07:38,START,ENTRY,7K 3157,2025-11-14 19:07:38,,,,,
2025-11-14 19:08:11,RECEIPT,EXIT,7K 3757,2025-11-14 19:07:15,2025-11-14 19:08:11,56,00:00:56,1,500
